Global Fortune 500 Ranking,Company Name,CEO First Name,CEO Last Name,CEO Business Title,CEO Education Summary,Company Org Chart URL (See all the CEO's direct reports),CEO Biography,Company Industry,Company Country,Company Stock Ticker,Company Customer ID,Executive Customer ID,Degree 1,College 1,Degree 2,College 2
1,Walmart,Doug,McMillon,President and Chief Executive Offficer,Doug McMillon has a Master of Business Administration in Finance from University of Tulsa and a Bachelor of Science in Business Administration from University of Arkansas.,https://www.theofficialboard.com/org-chart/walmart-2,https://www.theofficialboard.com/biography/doug-mcmillon-2g59g,Retail,United States (USA),US - WMT,6lrmw,pw49y1,Bachelor of Science in Business Administration,University of Arkansas,Master of Business Administration in Finance,University of Tulsa
2,State Grid Corporation of China,Baoan,Xin,President,Baoan Xin graduated from North China Electric Power University.,https://www.theofficialboard.com/org-chart/state-grid-corporation-of-china,https://www.theofficialboard.com/biography/baoan-xin-d7ge7,Utilities,China,,mozew,q65mp5,,,,
3,Amazon,Andrew,Jassy,Chief Executive Officer,Andrew Jassy has a Bachelor from Harvard University and a Master of Business Administration from Harvard Business School.,https://www.theofficialboard.com/org-chart/amazon,https://www.theofficialboard.com/biography/andrew-jassy-d92g3,Retail,United States (USA),US - AMZN,vw75,79045,Master of Business Administration,Harvard Business School,Bachelor,Harvard University
4,China National Petroleum,Hou,Qijun,Director and President,,https://www.theofficialboard.com/org-chart/china-national-petroleum1,,Oil & Gas,China,,d4je8,d29rrm,,,,
5,Sinopec Group,Baocai,Yu,President and Director,Baocai Yu graduated from Tsinghua University and from Harbin Institute of Technology.,https://www.theofficialboard.com/org-chart/sinopec-group,https://www.theofficialboard.com/biography/baocai-yu-2123g,Oil & Gas,China,CN - 600028,y9r6w,o15vyw,Master,,,Tsinghua University
6,Apple,Timothy,Cook,Chief Executive Officer and Director,Timothy Cook has a Bachelor of Science in Industrial Engineering from Auburn University in 1982 and a Master of Business Administration from Duke University - The Fuqua School of Business in 1988.,https://www.theofficialboard.com/org-chart/apple,https://www.theofficialboard.com/biography/timothy-cook-1g589,Consumer Electronics,United States (USA),US - AAPL,y45v,6867w,Master of Business Administration,Duke University - The Fuqua School of Business,Bachelor of Science in Industrial Engineering,Auburn University
7,CVS Health,Karen,Lynch,President and Chief Executive Officer,"Karen Lynch has a Master of Business Administration from Boston University and a Doctorate of Humane Letters from Becker College in Worcester, Mass.",https://www.theofficialboard.com/org-chart/cvs-health,https://www.theofficialboard.com/biography/karen-lynch-g1041,Retail,United States (USA),US - CVS,524v,ex1e44,Doctorate of Humane Letters,,Master of Business Administration,Boston University
8,UnitedHealth Group,Andrew,Witty,Chief Executive Officer and Director,Andrew Witty has a Bachelor in Economics from University of Nottingham.,https://www.theofficialboard.com/org-chart/unitedhealth-group,https://www.theofficialboard.com/biography/andrew-witty-6e489,Healthcare,United States (USA),US - UNH,vp1z0,j1qdmo,Bachelor in Economics,University of Nottingham,,
9,Toyota Motor,Akio,Toyoda,President and Representative Director,Akio Toyoda has a Degree in Law from Keio University in 1979 and a Master of Business Administration from Babson College in 1982.,https://www.theofficialboard.com/org-chart/toyota-motor,https://www.theofficialboard.com/biography/akio-toyoda-6eg7e,Automotive,Japan,JP - 7203,m9xp,wjl4v,Master of Business Administration,Babson College,Degree in Law,Keio University
11,Berkshire Hathaway,Warren,Buffett,Chairman of the Board & Chief Executive Officer,Warren Buffett has a Bachelor of Science in Business Administration from University of Nebraska-Lincoln and a Master of Science in Economics from Columbia University.,https://www.theofficialboard.com/org-chart/berkshire-hathaway,https://www.theofficialboard.com/biography/warren-buffett-de746,Holding,United States (USA),US - BRKB,mzrn,qnwlj,Master of Science in Economics,Columbia University,Bachelor of Science in Business Administration,University of Nebraska-Lincoln
